tenure_months,monthly_charges,total_charges,age,credit_score,support_tickets,login_frequency,avg_session_duration,payment_delay_days,contract_length_months,num_dependents,international_plan,voice_mail_plan,data_usage_gb,roaming_charges,device_protection,paperless_billing,num_referrals,churn_target
36.0,40.29,1507.25,18,672,2,7.629278965662387,5.5681134837039075,1,-4.524411656634247,2,1,1,-1.5017257732909,-0.3365689726312583,0,0,5,0
9.0,90.26,796.89,71,648,0,5.145600038421105,-2.447223457267618,1,-0.10903558841253358,0,1,1,1.4558233265945553,7.333184154641752,0,1,2,0
16.0,93.86,1544.98,41,506,1,5.385921849109598,3.5155473786404303,3,-3.0224686732971175,0,0,1,-0.7612470525822722,5.138648062443886,0,0,1,0
48.0,82.84,3847.91,37,390,4,6.65886998290755,4.767665800274966,9,-2.184602117029906,0,1,1,0.17420347551279847,5.287265016511053,0,0,3,0
44.0,19.99,908.09,26,577,1,6.276334521299597,4.11681736247174,5,0.81110022793986,2,0,1,-0.9678256029174003,-0.4608706622439319,0,0,2,0
62.0,121.79,7127.66,64,411,3,-2.1913252622844737,0.03199083098278797,6,2.4397538868753643,3,1,1,0.9291307848531186,2.9798708194297934,1,0,0,0
1.0,134.57,144.56,37,697,2,-2.3788660390380136,-0.21568996644403357,1,-5.69406809971842,1,0,1,0.729637707174896,2.63724078901994,1,0,3,1
3.0,149.99,423.34,36,647,2,-2.3130805478257597,1.6069242324026354,1,-3.735886921441697,2,0,0,0.7193713674706166,6.398224960914158,1,1,4,1
44.0,100.65,4047.76,38,643,2,-4.318390315917389,1.6447488847220515,5,2.2655062546053304,2,0,1,-0.41449785388736143,-3.8176788443502043,1,0,0,0
48.0,59.32,2861.57,37,531,1,5.118718188153054,6.8892966476422055,6,1.0005205087297049,2,0,0,-2.0024863660819503,1.979105303031216,1,0,8,0
17.0,108.95,1670.47,31,803,1,-1.13986640189837,0.039994864263280645,4,-1.9639161241275027,1,0,1,-0.3008787545287461,0.23414664110260863,1,1,4,1
26.0,103.03,2828.83,37,685,1,-8.311596042910063,3.9304977765733478,9,2.964545439629001,0,1,0,1.7295397743481464,-9.186252437356805,1,0,3,0
35.0,64.42,2087.1,18,609,2,-0.01657301049229311,11.66834367242992,2,-2.479839146040858,4,1,0,-0.556548896209264,-0.9279616324662984,0,0,3,1
58.0,19.99,1245.97,21,478,1,6.201132454964632,9.097414128759763,4,0.10873066350408722,0,1,1,0.34585583153887217,2.5356372106450835,0,0,6,0
1.0,149.99,154.09,32,723,3,-1.0652159579589722,1.8216982631411438,9,-0.5666297386581546,3,0,1,0.5655645964470789,3.749384818826057,1,1,5,0
1.0,94.35,102.92,80,850,0,-0.48755161547062836,-12.863811133720668,2,-0.12021357005340871,0,1,1,0.0422687815830018,-0.11652374437450744,1,1,4,0
45.0,38.95,1912.45,18,575,2,3.0985473552699156,9.138722754719497,4,-0.5676416057819579,1,0,1,0.39994086532590845,-3.9500928158825226,0,0,5,0
27.0,60.45,1518.65,31,529,2,8.047668544057569,5.055085243156104,2,-2.7023640286224317,2,0,1,-0.3450857593917615,4.025338971236629,1,0,4,0
72.0,68.17,5109.57,23,434,1,-5.078793456999131,2.926643665455927,6,-2.1998452932533783,1,1,0,0.36877494143591194,-0.6815038486687828,1,0,6,1
35.0,124.49,4057.33,62,473,3,1.109364547668286,2.8191668466757167,3,2.5536596076471363,1,0,1,1.9437048246870174,5.034473290656973,1,1,2,0
42.0,23.27,1042.92,55,550,2,5.689649936362849,2.02673033972954,3,-1.132545793098128,2,0,0,0.5768542401333245,1.147765781145747,1,0,5,0
28.0,59.06,1774.18,49,556,2,4.7994644508606195,1.8667748827034325,5,-1.9007475773827052,2,0,0,0.08838207601414509,4.422835578575164,1,1,2,0
42.0,55.23,2413.53,34,732,0,-0.11437549340716302,-5.208527799394844,1,1.7115298345534855,0,0,1,-0.004983470416331116,-2.854788018264269,1,1,4,0
56.0,74.6,3954.82,22,688,2,-0.8927401699580915,5.035714012416479,2,1.72849844284482,2,1,0,-0.10701062148486891,-3.7266963423225854,1,0,5,0
36.0,89.99,3090.12,34,739,1,-1.6449342274377787,2.954703149194247,3,4.142223078306915,3,0,0,-1.5847891907050735,-3.463125744741232,1,0,2,1
1.0,90.95,94.83,39,694,2,2.6393645951372817,5.267523949502658,3,-1.1832637180273387,1,1,1,-0.059568367182019515,2.3017101008177407,1,0,2,0
30.0,127.14,3794.72,28,653,3,-0.40155143547990463,1.8159704838932413,4,-0.3393924072957194,2,1,1,-0.7730509506419584,1.2804059249098354,1,1,1,0
42.0,28.67,1280.35,21,504,3,1.8260476873680895,4.302712878840537,12,-1.2603936650118834,1,0,1,0.03592197570726124,-1.4054805917388022,1,0,5,1
38.0,101.23,4079.1,48,659,2,-2.6991891184314065,-1.6394398240415136,1,-0.8031124270868376,1,0,0,1.106250767973474,-0.346862834264053,1,1,1,1
12.0,112.09,1364.13,54,675,1,-1.329149102636326,-1.0152574179018583,1,-0.6370322385323687,4,1,0,0.04842269477646414,2.567113164208491,1,1,5,0
35.0,48.82,1780.1,29,821,1,0.6965371193107462,-2.1364108234524384,0,-1.183694350315203,2,0,1,-0.5838317264989421,-0.8888928396620153,0,1,3,1
30.0,89.35,2833.34,28,694,2,2.0338492318918586,1.1304790936230094,1,-1.602224932063717,1,1,0,-0.4942233158521538,0.4723434267621285,1,1,1,0
8.0,76.63,562.05,34,758,1,2.3593818947040894,1.78498963400879,2,0.0596920319624078,1,1,1,-0.907256903541679,-0.3519147710710459,0,0,2,0
26.0,112.88,2991.69,43,701,1,-0.22520591667863427,-0.023849048512481822,1,-1.5526384217606428,0,0,0,2.2147516726378567,1.2253421793860795,1,1,3,0
34.0,100.08,3672.73,32,613,1,-0.2668430479335495,2.5086529683832133,3,-0.6680528505813254,1,0,1,-0.2968781083124661,0.029825016417280394,1,0,0,0
71.0,102.18,7281.44,46,561,0,-6.4467308634227045,2.277275918423966,1,4.948300487167618,2,1,0,-0.32654715287363384,-4.216105110716346,1,0,2,0
72.0,70.03,4778.47,19,472,0,-3.621747801271025,0.7217661817368431,1,-0.6174162237354345,1,0,0,-1.3885399186467982,-1.4912578690953129,1,0,6,1
17.0,132.8,2178.17,18,721,1,-2.087466301346142,3.668094312285921,2,0.6956985320487682,2,0,1,0.2398623657883982,-1.4066613401162327,1,0,2,1
37.0,95.03,3348.68,22,850,1,-4.333921883531819,-1.5687067038812903,6,0.5977371949067368,0,0,0,1.2615698065325773,-3.2886139243623886,1,1,2,1
52.0,53.5,2637.34,36,549,0,0.5460978214308227,0.7827525056911423,6,0.39874456824257865,1,0,1,1.349340004790821,-0.32536813679019294,1,0,1,1
71.0,120.71,9122.62,18,551,1,-5.87462994059708,7.48426368014894,1,-2.6027685194565167,1,1,0,-0.08932147640722085,0.34666444550600667,1,0,1,1
72.0,31.2,2079.95,29,413,3,3.110739529973664,6.831615256638803,2,0.8342485137817715,1,1,0,-0.9457576293183277,2.7967693531045996,0,0,3,0
22.0,65.67,1464.27,30,629,2,4.561751558313414,2.6605029749733897,6,-1.7244475664071293,0,0,1,-0.006149175610788363,3.733414604480906,1,0,3,0
43.0,52.47,2234.34,40,563,2,-1.052752070765909,2.437864724294236,0,-2.410668627219484,1,1,0,0.06491489761078105,0.13151162463242147,0,0,1,1
31.0,124.02,3725.07,49,629,2,-4.53429916035586,2.1588898369494176,8,2.9010153680668926,0,1,0,-0.05984291176815817,-1.5241166561026247,1,0,1,0
33.0,131.62,4380.62,18,811,2,-9.95436033570833,8.962776062440211,4,5.05406226826148,2,0,0,0.7261849601874505,-8.87597803770424,1,0,1,0
1.0,77.41,72.82,70,838,1,-0.1918357693738098,-0.5624706128318833,7,3.9280821589361468,0,1,0,0.7678494758026481,-3.0305845005232874,1,1,5,1
58.0,49.45,2656.83,43,504,3,1.4816465413230382,4.244967131258769,6,-0.3547127433259002,1,0,0,-0.8100900498248801,2.4828314430694878,0,0,2,0
5.0,70.04,317.15,70,758,1,0.9024361053173305,-5.926731698016671,5,-1.871353295164885,2,1,0,0.09004525940442218,-0.715071192344577,1,1,1,0
27.0,59.41,1744.16,28,630,1,6.937776859062921,5.049876364941392,0,-2.098438281955038,1,1,1,0.6014774466705344,3.191370235060178,0,0,6,0
38.0,74.91,2786.09,53,479,4,7.12834962759805,4.59489029943305,2,0.629698214084637,1,0,0,-0.544381017266648,8.226306661372863,0,1,5,0
1.0,82.5,88.79,24,690,4,7.8915434572694565,4.191548488049727,3,-4.148211702723913,2,0,1,1.7299346250470278,4.891938592725527,0,0,2,0
56.0,33.43,1923.06,30,483,1,5.88929537391148,5.695303780567346,7,0.8358517907008101,2,1,1,-0.36567013756470196,2.8569134891541648,0,0,2,0
43.0,74.13,3172.55,50,527,1,9.616114069690889,0.3599790389749284,13,-1.1121180898277223,2,1,1,-0.4483052461246243,9.654908629775827,1,1,7,0
62.0,32.06,2137.07,48,459,5,4.10548744809629,4.070019891125454,3,1.7167538080003921,0,1,0,0.5127042547395321,3.8650905457145606,0,0,2,0
72.0,49.76,3917.91,39,513,1,-3.170998518047167,-0.6669195786196113,2,-1.5428594981526915,2,0,0,-1.0425601742446935,-0.9392987726886923,1,0,2,1
25.0,143.9,3904.19,45,630,1,-6.934487873842062,3.0285190322582918,2,3.051217682917679,0,1,1,1.5694742497130032,-2.4141095085346738,1,0,3,0
67.0,31.34,1950.79,55,501,1,0.01574554824885235,-4.610879937912771,3,0.5172938774405753,1,1,1,1.530399939689293,-0.07496305327035781,1,0,3,1
14.0,107.55,1409.0,34,782,4,-3.3123357457781566,3.7297680348738758,1,1.3408595611877816,2,1,0,0.1929122529322201,-2.823918326088825,1,0,2,1
14.0,99.84,1446.96,41,576,1,4.388059886107467,0.5859857650429977,1,-2.1870075542687206,0,0,1,-1.406737259703862,4.934691823479023,0,0,1,0
12.0,139.34,1678.23,46,728,2,-2.9569128263069944,-0.6262815163239775,1,-2.142520612970978,0,0,0,-1.6301286973446232,-0.03766405925890811,1,1,0,1
15.0,72.7,1055.49,69,688,0,1.1964118601922322,-5.004708771960883,7,0.25653368727622283,0,1,0,-0.1575805670823824,2.9456939157954936,0,1,3,0
57.0,103.76,6088.95,43,681,2,-1.3708136715766408,-0.5705701385420802,7,3.9744470981195965,1,0,0,-0.3192377596286614,0.07894157891767838,1,1,3,0
72.0,91.97,7271.38,32,627,1,-3.435496134890047,-4.788102692158519,5,3.429558175279271,1,1,0,-0.41119313232404964,-2.411803225847244,1,1,5,1
44.0,87.72,3937.5,39,622,0,3.924941329380189,1.7736411328930253,8,0.6594286012334389,1,0,1,-1.450200317668216,3.711804314284118,1,1,5,0
24.0,72.46,1639.81,56,679,3,1.7117504938408248,-3.21538603784561,1,1.423208622710327,0,0,1,0.48669996464309495,2.118487786602575,0,1,2,0
72.0,39.49,2977.09,21,350,0,8.619049550101465,13.459579263839041,3,0.20155944149072946,1,0,1,-0.522794558460867,8.215613333580578,0,0,9,0
9.0,91.42,763.42,21,629,1,1.418650746618678,5.4197253166454225,3,-3.0242198493576473,0,1,1,-0.33377151009778333,-0.8500218059566229,0,0,1,0
21.0,104.4,2203.34,28,677,3,2.879061615329006,0.3840982504561114,2,-1.9026059737193517,0,0,1,0.7539616360062549,3.0722491332819843,0,1,0,0
62.0,25.51,1618.87,41,821,2,-5.259047675061386,-7.403016553774039,1,0.9995464683665266,3,0,0,0.5592548502234927,-9.152340293574724,1,1,3,1
29.0,98.51,2760.51,22,748,2,1.3839457577577292,1.95419968292698,2,1.1307318841470235,2,0,1,-0.7875912809254192,0.38178496764028963,1,1,2,0
27.0,136.43,3897.33,41,618,1,-3.333149898320381,0.518270739435847,7,2.2244059947497785,0,1,1,1.1308901360773533,0.230361428925031,1,0,3,0
54.0,92.27,4709.43,56,593,2,-2.7025592757560415,-4.7594501932305935,5,-1.5741164881617369,2,1,0,2.1903877627744492,-0.3067833304553832,1,1,3,1
4.0,99.58,415.79,28,531,3,6.612791147853288,9.38903879844149,1,-1.9335256041218472,5,1,1,-0.6288667054574826,8.042800347981562,0,0,2,0
1.0,40.76,43.62,47,695,2,7.182812179032497,0.46922438628668034,2,-1.0784693811284818,3,0,1,1.8296340957806814,1.8924262051528424,0,0,0,0
72.0,56.11,3958.86,18,499,2,-1.507067813260793,7.25442034165117,5,-1.6947292698756282,1,0,0,0.6204646942946005,-1.0399160224895014,1,0,2,1
59.0,56.98,3488.25,25,777,0,-5.709135006841606,-4.370138244380218,6,0.2505664586817332,3,0,0,0.717733904991522,-6.411841469660865,1,0,4,1
37.0,88.25,3547.17,60,717,1,-1.320428188992653,-8.44716116665543,2,2.458148997947817,2,1,1,1.9145293850027465,1.2585626898067905,0,1,6,0
23.0,32.63,749.59,59,667,3,1.7215995223277387,-2.153475960218271,2,0.5080275794539104,0,0,0,-0.5217254499032902,0.3057819304862556,0,0,3,0
36.0,114.02,4161.46,57,557,1,-1.1727665295936998,-0.8821294139284321,1,2.5940475983358384,1,0,1,0.7024468738757074,2.0081059002018793,1,0,1,0
48.0,58.7,2688.33,18,502,1,0.8766004562344071,9.93634668257304,3,-2.4368852893279986,3,1,1,-0.471615363550842,0.3379641770435025,1,0,1,1
58.0,22.09,1391.02,56,642,2,-2.2395382128887182,-4.087329412515594,3,0.783427474238273,2,1,0,-1.8767619835927987,-2.6521137827948253,0,0,3,0
1.0,129.65,134.83,23,846,2,-1.5925583720092138,3.5066781682738637,10,-0.07130384777768806,2,1,1,-0.5479416108931856,-0.2729705894514694,1,0,1,0
15.0,78.23,1278.64,26,649,2,7.807092456873673,3.2104342044086085,4,-3.481107630559603,3,0,1,0.06807628650122563,4.689548058032906,0,1,3,0
51.0,88.31,4948.76,25,672,1,-4.826993887221991,0.0678296497340102,6,0.4077371628024417,3,1,1,0.053550559183377006,-6.190823159801352,1,0,3,0
3.0,115.86,337.79,31,701,1,2.235636564475071,3.57798827244996,2,-1.431591695695892,1,0,1,1.3407515169835797,4.062187045033032,0,0,2,0
10.0,75.4,760.59,53,697,0,1.6958518091056736,-1.9329926929720593,2,0.0919607028552426,1,1,1,0.5150200693575328,2.5286666484189277,0,1,3,0
52.0,57.13,2707.91,19,641,4,0.05054638026613161,2.3538756866517088,5,-2.1071896570667463,2,0,1,-1.6869987056300342,-4.052146673401316,0,0,1,0
50.0,41.99,2209.01,35,483,2,6.385692605110316,5.438208423535394,3,0.05819850425206907,2,1,1,2.2912259121069742,3.425738443821187,0,0,4,0
1.0,121.69,112.71,40,659,3,-0.18683536794196684,4.4102660899190385,9,0.48524876667635897,2,0,1,2.062681917697947,0.41515612287144144,1,0,2,0
20.0,56.5,1102.39,60,747,1,0.4531738815290245,-2.855385909302498,8,3.525361224264008,0,1,1,-0.6098209370106611,-3.0843741564141087,1,0,1,1
71.0,140.41,9365.13,56,551,4,-8.168850174502811,-3.0868741750120754,3,4.578114999356504,3,0,0,0.35985231541321944,-1.9105047146540615,1,1,3,0
42.0,68.14,2672.11,37,456,1,5.3260003689547855,2.9265644895489795,2,-2.6088551111198828,1,1,1,1.7775210089085383,2.366715519879119,1,0,1,0
1.0,119.09,117.6,30,785,2,1.3775660857956986,4.6223161345337545,4,-2.586703442645689,2,1,1,1.1316354053183943,1.8031807617944513,0,0,2,0
12.0,149.99,1828.6,23,786,3,-2.1213748395052727,6.093713179936576,3,1.4974271141172864,3,1,0,-0.3947432740036917,3.789088295745331,0,1,3,1
51.0,19.99,929.94,27,490,2,7.51775145866307,5.502949148028549,2,2.787687626712254,3,0,1,0.4760157609090203,1.128946293850326,0,0,1,0
32.0,84.94,2645.73,46,826,1,-1.2553410884162464,2.5965412233290626,4,3.35340775017606,2,0,0,0.3446145968198295,-2.9315464862238936,0,1,8,1
1.0,136.08,143.42,35,776,2,-0.62530303300526,2.8117129817432316,2,0.4739430416607529,2,0,1,1.5734385820324122,1.945392460553582,1,0,0,0
1.0,149.99,150.12,68,757,0,-10.081329775894208,-5.5651611931473095,3,0.2009086770537195,3,1,1,0.6556469602840003,1.966628432669229,1,0,10,0
35.0,109.97,3600.85,38,565,1,-1.2265188520036192,5.636476719248024,3,1.2162743241037202,1,0,1,-0.42070386665033777,0.08025424263247577,1,0,2,0
49.0,42.74,2117.7,54,605,5,1.3622576819460777,-1.97693493079637,5,1.2870269422119383,1,0,0,0.16103751519866025,1.8432288306872244,0,1,1,0
31.0,139.77,3967.06,30,627,0,-2.8909206046597036,2.9715521584734854,9,0.9287889717816556,1,1,1,0.48710437336117896,-0.28678111272570345,1,0,2,0
1.0,75.37,77.3,60,681,0,7.652983506427074,-0.35298400727761725,0,1.37226277371921,3,1,1,1.0227499487463438,5.4576800007521555,0,1,4,0
41.0,50.81,2028.03,42,463,5,6.777409473295724,6.301291505189987,5,2.8695970224467966,2,0,1,1.8069148660793404,5.474866950261506,0,0,0,0
72.0,48.33,3315.42,56,378,1,2.365202879643858,4.130805520540793,4,1.043801649204604,3,1,0,0.4197314768097607,6.7743249727937975,0,1,6,0
33.0,64.82,2267.36,27,850,0,-2.9316720985044618,-1.9710762513996103,9,1.0383966391695583,1,0,1,0.4001650393200848,-6.257861892996526,1,0,2,1
60.0,141.84,7823.46,49,530,5,-8.057218234928598,2.198072471984721,5,5.104478804540221,3,0,1,0.5056716944342423,-1.9486352457132496,1,0,1,0
39.0,65.37,2473.96,40,556,2,9.347244121689178,1.406598554767685,0,-1.5338491776642096,1,1,1,0.9920874420017525,8.167008097756353,0,1,7,0
20.0,120.02,2333.95,27,765,0,-3.441320192888683,-1.1929447776539324,1,-2.458940087028872,0,0,0,-1.1099680164851355,-0.27945373639622506,0,1,4,1
1.0,79.6,79.58,58,735,1,3.310549417379343,-1.1299868070550554,0,-1.2193149819396858,2,1,1,0.8668516733235516,3.897767680575213,0,1,2,0
1.0,80.28,82.04,32,662,1,8.27450288206926,3.5537378171528355,8,0.5105243204411708,5,0,1,-0.004358430940046225,4.198061285976951,0,0,1,0
36.0,80.51,3145.02,60,729,0,-3.255709141103016,-7.733542485282958,6,1.2158586775464095,3,0,1,-0.44869058057156996,1.0378208070089754,0,1,5,0
11.0,103.26,1209.66,22,764,3,-0.5541601584207825,-0.7857945210171698,2,-3.6402623675488526,0,0,1,0.7466522535214697,3.8191528252056237,0,1,5,1
14.0,85.81,1099.87,68,666,4,3.065596364819553,-5.721430204777367,10,3.6942342524746734,2,1,1,0.2257851854466173,3.408989786568656,0,1,8,0
9.0,96.3,939.73,19,715,2,-1.307534071832175,6.210034348843997,3,-0.19548685460711546,4,1,0,-0.13890052062192743,-1.8836579414436287,1,0,3,1
72.0,34.51,2626.72,18,471,1,0.8587713148102726,2.136259370818283,4,-0.7734553561533887,2,0,0,-0.5384019467826331,0.17113136391504344,0,0,5,1
49.0,95.01,4396.44,59,490,2,4.55396744473819,1.329454834024482,1,1.3256494256665663,0,1,0,0.5565213463876355,7.215287127910015,0,1,3,0
4.0,77.85,292.29,39,628,0,6.766935522863856,2.124415303696419,2,0.0639144875853509,3,1,1,0.7233198979026291,5.0832673559712225,0,1,2,0
61.0,96.78,5902.07,42,747,2,-7.201929308888428,-2.1113481119241864,7,4.251796467449395,0,0,0,-0.7813448646821745,-7.084575971595515,1,1,2,1
31.0,53.69,1697.65,20,626,2,-0.4839179484709657,9.451440107294188,1,0.5425373145328707,1,1,1,1.1822857910386857,-6.211202088878753,1,0,4,1
15.0,116.44,1905.35,41,643,5,-1.16332534878518,2.121217866096533,3,1.0741130884463799,1,1,1,-0.3665594596645678,-0.27372276996617234,1,0,2,1
50.0,65.85,3618.42,36,529,3,4.601011294736031,4.496754809384422,9,0.23920727016815957,1,1,1,0.5446605068274026,2.8318680076007774,0,0,6,0
72.0,51.79,3970.06,18,350,1,-2.5432789194635097,2.6154329958457367,1,1.268167891730281,1,0,0,-1.3196864108378712,-1.2571973516115769,1,0,3,1
12.0,60.02,651.24,47,780,2,0.5117847979817834,-4.97236093053504,0,-3.589027174274182,0,1,0,0.7876567754879971,-0.04232514155486713,0,1,4,1
72.0,43.35,2897.43,23,632,3,-5.843768470017727,-4.405741650673503,7,0.7543626193520429,5,1,0,-1.32346860679124,-3.3706722425733595,0,1,3,1
23.0,101.27,2111.54,37,633,2,3.7930429692129817,1.0579266709509296,4,-0.6012480314120564,1,1,1,0.9527717331687928,4.460311076650466,1,1,2,0
71.0,26.49,1758.64,33,471,1,4.654202120415502,4.284223814584529,6,1.5356667138019817,0,0,1,-0.623071474805207,2.250531581866431,0,0,3,0
44.0,89.2,3783.84,48,543,1,-1.5568583440013273,3.58126132172271,5,1.8913023881516065,1,0,1,-1.3047944474204873,-0.4415541460225768,1,0,3,0
72.0,19.99,1314.22,32,421,1,1.6695137602338974,3.3550016812482744,6,4.362405722934376,4,0,1,0.8343417649697251,3.10021919550882,0,0,1,0
63.0,59.92,3971.58,44,563,2,3.9913137737793765,2.967346127596544,7,2.703202069149627,1,0,0,-1.6730910081399653,1.7850746534885094,1,1,7,0
64.0,96.92,6141.63,33,714,0,-3.8579071322843634,-1.6771406767813695,1,1.0819156924575157,2,0,0,-0.23447797291089728,-1.0438903187451551,1,1,1,1
1.0,89.68,86.31,63,848,2,0.20732704511092206,-8.31887981068421,2,0.9846508289655406,0,1,1,-0.06132099524669143,0.5274693591513498,1,1,6,0
58.0,33.1,1917.38,39,516,3,5.090295070209413,3.376242903657112,6,0.530980406021847,2,1,1,0.1808256887131618,4.0707002494873725,0,0,5,0
7.0,83.62,626.2,41,616,1,7.321990456379855,6.890580304503602,5,0.6964023884381842,4,0,1,-0.4806818968494382,6.413182013522392,1,1,8,0
48.0,74.29,3773.43,43,589,1,0.6170807861054464,-1.1113908806326216,4,2.778184209562579,1,1,1,0.23827468544242775,3.134632697276191,0,1,4,0
28.0,28.08,786.4,51,739,0,3.8143844991558957,-5.842674499496421,3,1.2782077336219162,1,0,1,1.166091973439307,-3.312791631422325,1,1,1,0
27.0,149.99,4326.69,42,812,1,-8.768392008432285,0.4660689048098855,1,4.975721738667015,2,1,0,-0.4975664313884472,-3.10223189806591,1,1,2,0
34.0,65.66,2135.12,61,702,1,0.12203187949371883,-7.272627359212873,1,1.3139581661018243,1,1,1,0.9470297727062146,0.33084482236224955,1,1,4,0
28.0,57.79,1661.82,62,735,1,0.5732599890968932,-7.712641244184171,2,0.38268132877681654,1,1,1,-0.005198602660839161,-0.4965104481253402,1,1,3,0
25.0,54.57,1455.55,49,601,2,5.021591817739896,0.5392413324540266,5,0.8313090960090139,3,0,0,0.25120150064276514,2.2006004044284557,0,1,1,1
62.0,53.19,3041.23,29,567,6,-0.5500151201402816,6.715775864999483,7,2.655303671231498,1,0,0,-0.8523159100216734,-5.822708847544343,1,0,4,0
72.0,40.03,3134.87,41,591,3,-4.92515200432347,-4.761211236434352,1,1.5084197962299286,1,0,0,-0.9824863469678893,-4.60982490626499,1,0,5,1
72.0,77.31,6002.55,26,409,0,-1.9069208397376773,5.224196045704895,11,0.5053215944603484,2,0,1,0.4147532103378641,-3.975426454204551,1,0,0,0
28.0,122.54,3597.26,60,441,0,3.4355663001982744,-5.127742438992,7,-3.519120492992967,4,0,1,-0.09216398292144454,8.631300798727592,0,1,4,0
23.0,85.7,1919.24,20,445,0,12.841767296187408,9.851231942829843,0,0.9002887597151344,4,0,1,-1.9647490213638317,9.705914046093394,0,0,4,0
26.0,85.1,2180.99,80,783,1,-3.5028899971470144,-12.219248963771639,7,-0.6502145656350368,2,1,0,-1.1646992574900275,-0.4844076482310259,1,1,4,0
14.0,149.99,1949.35,43,694,0,-4.4966555315137295,-1.6412439943969395,11,0.17287014883660723,2,0,1,-0.7529969311376409,1.976906558283278,1,1,5,0
3.0,126.33,378.13,32,645,0,2.7782224606114023,6.206991461674229,2,0.02921967994086805,3,1,1,0.3999520610248129,5.129785952864628,1,0,3,0
20.0,112.7,2128.08,33,768,2,-2.090029997745185,0.3428529270059793,2,3.066704114206208,3,1,1,0.28762778694920177,-2.703682802212548,1,1,2,0
72.0,98.22,7134.49,23,541,4,-6.039743861774778,4.630866705963905,1,3.069193463516313,1,1,0,-1.394215912238867,-7.370982395387216,1,0,1,0
9.0,149.99,1215.7,21,818,0,-8.278090283699337,4.062997762997476,3,2.099234093087061,1,1,0,0.036386361220693574,-4.665899377219945,1,0,3,0
1.0,83.79,88.88,56,713,2,4.460957070604243,-2.8085658235787476,3,1.398659981058906,2,0,1,-1.649365701831028,3.978614334783534,0,1,6,0
28.0,59.37,1807.1,40,625,1,4.1492700192531045,0.5163917313602017,5,1.0934617908055522,1,1,1,-0.7051866183098977,3.1154991228580187,0,1,2,0
45.0,43.74,2158.92,44,566,4,-0.5981004588753783,-3.630146117759171,2,-1.5528306177915452,0,1,0,-0.6704293494678266,0.41520353132549764,1,0,7,0
19.0,86.25,1539.54,18,724,1,3.4430602904303553,9.052245044449991,3,0.20678343258582954,3,1,1,0.09992904040217224,1.3306774220207491,0,0,7,0
54.0,70.22,3584.42,29,648,3,1.6548618950664238,3.2894330848483526,1,1.869126128833301,2,0,0,0.5717742431334827,-1.1972096801421763,1,1,5,0
40.0,146.42,5490.01,50,572,1,-2.3269438724740334,-0.9015412906306333,4,1.0386313284322861,1,1,1,0.12486739794955672,4.352502520607525,1,1,1,0
60.0,19.99,1086.57,26,520,2,-0.5324138240496652,0.0017560765163570097,3,-2.787609987648011,1,0,1,0.7420024559458496,-0.8601747244649787,1,0,4,1
